INFO 2021-11-21 01:09:03,677: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 01:09:04,706: 862 entries were already downloaded
INFO 2021-11-21 01:09:04,706: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 01:09:06,122: 892 entries were already downloaded
INFO 2021-11-21 01:09:46,187: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 01:09:46,936: 999 entries were already downloaded
INFO 2021-11-21 01:09:46,936: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 01:09:48,269: 999 entries were already downloaded
INFO 2021-11-21 02:00:02,395: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 02:00:03,584: 948 entries were already downloaded
INFO 2021-11-21 02:00:03,585: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 02:00:04,591: 948 entries were already downloaded
INFO 2021-11-21 03:00:02,275: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 03:00:03,712: 939 entries were already downloaded
INFO 2021-11-21 03:00:03,712: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 03:00:05,068: 939 entries were already downloaded
INFO 2021-11-21 04:00:02,361: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 04:00:03,803: 939 entries were already downloaded
INFO 2021-11-21 04:00:03,803: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 04:00:04,453: 938 entries were already downloaded
INFO 2021-11-21 07:48:42,246: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 07:48:43,072: 771 entries were already downloaded
INFO 2021-11-21 07:48:43,072: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 07:48:44,474: 771 entries were already downloaded
INFO 2021-11-21 11:00:02,417: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 11:00:03,330: 808 entries were already downloaded
INFO 2021-11-21 11:00:03,331: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 11:00:03,964: 808 entries were already downloaded
INFO 2021-11-21 12:00:02,262: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 12:00:03,416: 939 entries were already downloaded
INFO 2021-11-21 12:00:03,417: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 12:00:04,839: 939 entries were already downloaded
INFO 2021-11-21 13:00:02,195: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 13:00:03,629: 939 entries were already downloaded
INFO 2021-11-21 13:00:03,630: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 13:00:04,900: 939 entries were already downloaded
INFO 2021-11-21 14:00:02,222: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 14:00:03,367: 938 entries were already downloaded
INFO 2021-11-21 14:00:03,368: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 14:00:04,503: 939 entries were already downloaded
INFO 2021-11-21 15:00:02,269: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-21 15:00:03,236: 939 entries were already downloaded
INFO 2021-11-21 15:00:03,236: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-21 15:00:04,370: 939 entries were already downloaded
INFO 2021-11-21 16:00:02,516: Updating SPOT_BTC_USDT_1m.csv
